rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
269,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
270,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
271,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
272,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
273,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
274,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
275,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
276,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
277,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
278,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
279,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
280,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
281,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
282,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
283,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
284,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
285,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
286,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
287,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
288,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
289,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
290,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
291,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
292,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
293,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
294,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
295,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
296,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
297,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
298,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
299,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
300,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
301,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
302,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
303,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
304,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
305,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
306,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
307,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
308,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
309,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
